market,locale,countriesOrRegions,campaignName,adGroupName,keyword,matchType,searchMatch,campaignToken,appStoreLink,dailyBudgetCap,initialBidCapCpt,cpaGoal
English core,en-US,US|GB|CA|AU|NZ,Oasis English core Search Results,Sleep exact,sleep sounds,EXACT,OFF,appleads_en_sleep_exact,https://apps.apple.com/app/apple-store/id6759493932?ct=appleads_en_sleep_exact&mt=8,10,0.8,1.5
English core,en-US,US|GB|CA|AU|NZ,Oasis English core Search Results,Sleep exact,rain sounds,EXACT,OFF,appleads_en_sleep_exact,https://apps.apple.com/app/apple-store/id6759493932?ct=appleads_en_sleep_exact&mt=8,10,0.8,1.5
English core,en-US,US|GB|CA|AU|NZ,Oasis English core Search Results,Sleep exact,white noise,EXACT,OFF,appleads_en_sleep_exact,https://apps.apple.com/app/apple-store/id6759493932?ct=appleads_en_sleep_exact&mt=8,10,0.8,1.5
English core,en-US,US|GB|CA|AU|NZ,Oasis English core Search Results,Sleep exact,brown noise,EXACT,OFF,appleads_en_sleep_exact,https://apps.apple.com/app/apple-store/id6759493932?ct=appleads_en_sleep_exact&mt=8,10,0.8,1.5
English core,en-US,US|GB|CA|AU|NZ,Oasis English core Search Results,Sleep exact,sleep sound app,EXACT,OFF,appleads_en_sleep_exact,https://apps.apple.com/app/apple-store/id6759493932?ct=appleads_en_sleep_exact&mt=8,10,0.8,1.5
English core,en-US,US|GB|CA|AU|NZ,Oasis English core Search Results,No subscription exact,sleep app no subscription,EXACT,OFF,appleads_en_no_subscription_exact,https://apps.apple.com/app/apple-store/id6759493932?ct=appleads_en_no_subscription_exact&mt=8,10,0.8,1.5
English core,en-US,US|GB|CA|AU|NZ,Oasis English core Search Results,No subscription exact,white noise no subscription,EXACT,OFF,appleads_en_no_subscription_exact,https://apps.apple.com/app/apple-store/id6759493932?ct=appleads_en_no_subscription_exact&mt=8,10,0.8,1.5
English core,en-US,US|GB|CA|AU|NZ,Oasis English core Search Results,No subscription exact,rain sounds no subscription,EXACT,OFF,appleads_en_no_subscription_exact,https://apps.apple.com/app/apple-store/id6759493932?ct=appleads_en_no_subscription_exact&mt=8,10,0.8,1.5
English core,en-US,US|GB|CA|AU|NZ,Oasis English core Search Results,Focus exact,focus sounds,EXACT,OFF,appleads_en_focus_exact,https://apps.apple.com/app/apple-store/id6759493932?ct=appleads_en_focus_exact&mt=8,10,0.8,1.5
English core,en-US,US|GB|CA|AU|NZ,Oasis English core Search Results,Focus exact,background noise focus,EXACT,OFF,appleads_en_focus_exact,https://apps.apple.com/app/apple-store/id6759493932?ct=appleads_en_focus_exact&mt=8,10,0.8,1.5
English core,en-US,US|GB|CA|AU|NZ,Oasis English core Search Results,Focus exact,rain sounds study,EXACT,OFF,appleads_en_focus_exact,https://apps.apple.com/app/apple-store/id6759493932?ct=appleads_en_focus_exact&mt=8,10,0.8,1.5
